name,company,street,postcode,city,country,capacity,energy_source,technology,chp,commissioned,lat,lon
PENLY 1,,,,,FR,1330,Nuclear,Steam turbine,,,49.97599,1.21025
PENLY 2,,,,,FR,1330,Nuclear,Steam turbine,,,49.97599,1.21025
ST ALBAN 1,,,,,FR,1335,Nuclear,Steam turbine,,,45.40523,4.75527
ST ALBAN 2,,,,,FR,1335,Nuclear,Steam turbine,,,45.40523,4.75527
ST LAURENT 1,,,,,FR,915,Nuclear,Steam turbine,,,47.72006,1.58009
ST LAURENT 2,,,,,FR,915,Nuclear,Steam turbine,,,47.72006,1.58009
TRICASTIN 1,,,,,FR,915,Nuclear,Steam turbine,,,44.32906,4.72605
TRICASTIN 2,,,,,FR,915,Nuclear,Steam turbine,,,44.32906,4.72605
TRICASTIN 3,,,,,FR,915,Nuclear,Steam turbine,,,44.32906,4.72605
TRICASTIN 4,,,,,FR,915,Nuclear,Steam turbine,,,44.32906,4.72605
Bełchatów B01,"	PGE Górnictwo i Energetyka Konwencjonalna S.A.",,,,PL,370,Lignite,,,,51.26719,19.31765
Bełchatów B02,"	PGE Górnictwo i Energetyka Konwencjonalna S.A.",,,,PL,370,Lignite,,,,51.26719,19.31765
Bełchatów B03,"	PGE Górnictwo i Energetyka Konwencjonalna S.A.",,,,PL,380,Lignite,,,,51.26719,19.31765
Bełchatów B04,"	PGE Górnictwo i Energetyka Konwencjonalna S.A.",,,,PL,380,Lignite,,,,51.26719,19.31765
Bełchatów B05,"	PGE Górnictwo i Energetyka Konwencjonalna S.A.",,,,PL,380,Lignite,,,,51.26719,19.31765
Bełchatów B06,"	PGE Górnictwo i Energetyka Konwencjonalna S.A.",,,,PL,394,Lignite,,,,51.26719,19.31765
Bełchatów B07,"	PGE Górnictwo i Energetyka Konwencjonalna S.A.",,,,PL,390,Lignite,,,,51.26719,19.31765
Bełchatów B08,"	PGE Górnictwo i Energetyka Konwencjonalna S.A.",,,,PL,390,Lignite,,,,51.26719,19.31765
Bełchatów B09,"	PGE Górnictwo i Energetyka Konwencjonalna S.A.",,,,PL,390,Lignite,,,,51.26719,19.31765
Bełchatów B10,"	PGE Górnictwo i Energetyka Konwencjonalna S.A.",,,,PL,390,Lignite,,,,51.26719,19.31765
Bełchatów B11,"	PGE Górnictwo i Energetyka Konwencjonalna S.A.",,,,PL,390,Lignite,,,,51.26719,19.31765
Bełchatów B12,"	PGE Górnictwo i Energetyka Konwencjonalna S.A.",,,,PL,390,Lignite,,,,51.26719,19.31765
Bełchatów B14,"	PGE Górnictwo i Energetyka Konwencjonalna S.A.",,,,PL,858,Lignite,,,,51.26719,19.31765
Dolna Odra B1,PGE Górnictwo i Energetyka Konwencjonalna S.A.,,,,PL,222,Hard coal,,,,53.20981,14.46696
Dolna Odra B2,PGE Górnictwo i Energetyka Konwencjonalna S.A.,,,,PL,232,Hard coal,,,,53.20981,14.46696
Dolna Odra B5,PGE Górnictwo i Energetyka Konwencjonalna S.A.,,,,PL,222,Hard coal,,,,53.20981,14.46696
Dolna Odra B6,PGE Górnictwo i Energetyka Konwencjonalna S.A.,,,,PL,222,Hard coal,,,,53.20981,14.46696
Dolna Odra B7,PGE Górnictwo i Energetyka Konwencjonalna S.A.,,,,PL,227,Hard coal,,,,53.20981,14.46696
Dolna Odra B8,PGE Górnictwo i Energetyka Konwencjonalna S.A.,,,,PL,232,Hard coal,,,,53.20981,14.46696
Dychów H1,PGE Energia Odnawialna S.A.,,,,PL,28,Hydro,Pumped storage,,,51.56076,15.45145
Dychów H2,PGE Energia Odnawialna S.A.,,,,PL,29,Hydro,Pumped storage,,,51.56076,15.45145
Dychów H3,PGE Energia Odnawialna S.A.,,,,PL,28,Hydro,Pumped storage,,,51.56076,15.45145
EC Włocławek B01,PKN Orlen S.A.,,,,PL,485,Natural gas,,,,,
Jaworzno 3 B1,TAURON Wytwarzanie S.A.,,,,PL,225,Hard coal,,,,50.21356,19.2287
Jaworzno 3 B2,TAURON Wytwarzanie S.A.,,,,PL,225,Hard coal,,,,50.21356,19.2287
Jaworzno 3 B3,TAURON Wytwarzanie S.A.,,,,PL,225,Hard coal,,,,50.21356,19.2287
Jaworzno 3 B4,TAURON Wytwarzanie S.A.,,,,PL,225,Hard coal,,,,50.21356,19.2287
Jaworzno 3 B5,TAURON Wytwarzanie S.A.,,,,PL,220,Hard coal,,,,50.21356,19.2287
Jaworzno 3 B6,TAURON Wytwarzanie S.A.,,,,PL,225,Hard coal,,,,50.21356,19.2287
Karolin B2,Veolia Energia Poznań ZEC S.A.,,,,PL,100,Hard coal,,,,,
Karolin B3,Veolia Energia Poznań ZEC S.A.,,,,PL,112,Hard coal,,,,,
Kozienice 1 B1,ENEA Wytwarzanie Sp. z o.o.,,,,PL,228,Hard coal,,,,51.66506,21.46532
Kozienice 1 B2,ENEA Wytwarzanie Sp. z o.o.,,,,PL,228,Hard coal,,,,51.66506,21.46532
Kozienice 1 B3,ENEA Wytwarzanie Sp. z o.o.,,,,PL,225,Hard coal,,,,51.66506,21.46532
Kozienice 1 B4,ENEA Wytwarzanie Sp. z o.o.,,,,PL,228,Hard coal,,,,51.66506,21.46532
